('000019c5-d0e2-4f15-bd0c-8375a48698e5'	'_KeRaMiS_'	'46.109.172.49')
('0226419f-0ce9-4172-8ea9-14d47f75ab97'	'E44'	'94.195.37.214')
('0227d9e3-c210-4408-91a8-a28089ec15ee'	'BuBBleGirl393252'	'68.83.162.13')
('022d1450-6dff-46fe-b48f-1eb1eb1bc0c7'	'AmayZ'	'108.217.225.199')
('022fd34d-3488-494a-a46d-505946348f81'	'ase27'	'74.178.202.172')
('02301b64-af83-4798-a2cd-cd07b3050e80'	'FeelLucky'	'86.92.173.100')
('02311a0c-ce14-4c34-9843-cd67b47fbe99'	'EarCancer'	'68.129.148.217')
('02324bbd-8305-409a-bd9a-63456ee023aa'	'Jakovoman'	'201.131.125.106')
('0234f86b-31b3-4eb8-bf01-20b3b973a4ba'	'Lyriell'	'65.96.162.241')
('023795e5-2b13-4908-815c-e3bbddff701f'	'ISLAUTA'	'201.253.242.142')
('023c620e-8ad4-4a8e-aad8-9320621d958a'	'Mexicum'	'190.231.217.108')
('023e0cc9-4777-4c15-8f41-153e204bd2fb'	'ImSaucin'	'73.228.3.238')
('023f38cc-d517-48e9-afcd-9af6e02b1837'	'georgesfc'	'81.174.144.126')
('023ffba9-c388-4db3-8a00-281913d126ef'	'Divaricate'	'174.16.45.130')
('02425922-45f8-40d5-b137-bd31f4ea813f'	'DingoDino59'	'86.100.6.57')
('024516e2-7fdf-4f26-a641-407e719b7255'	'Broadus'	'93.136.118.195')
('02461a8c-a8de-4b82-8a66-b30ee0a4e477'	'mictony'	'79.67.12.219')
('024b87c7-bf5f-46a4-bbb0-d017159ecbcc'	'5x6'	'95.148.109.29')
('024cd34e-2f05-417e-b4e1-e676ee4b2c4c'	'GokuTheMaster13'	'181.72.79.250')
('024ddc73-f407-4deb-9d81-0acfd88ceeb9'	'whygoodboyg'	'24.168.255.199')
('024f9e96-7047-4b0f-90c9-71fcbf257412'	'SharkUHC'	'86.169.68.208')
('0252332a-1696-4289-a399-3872003684f1'	'bfoleyLAX11'	'104.11.65.26')
('02557741-9722-4d41-bb44-d97aaf7978f7'	'TheCampingUK'	'79.70.74.251')
('02586b8f-c6ef-4a02-b9e7-9dcd7512f160'	'crochetgod'	'122.59.4.246')
('025c152f-afee-4d8f-a8c2-ec7f5de94cfe'	'TightAF'	'92.1.42.107')
('02620d6a-7c6e-49f0-8f31-3f559fbf8d0f'	'aBoob'	'82.0.24.26')
('02674d36-1a9f-45b0-b9a5-98815d8e01c4'	'Ezra_yo'	'68.193.217.97')
('026895b0-4afc-454d-8796-5d64531adade'	'Marseillaiis'	'176.159.13.177')
('026b4ce3-95c3-41a3-978a-23a995aea469'	'SamraxYT'	'85.211.57.101')
('026b8dd1-d043-469c-b4d1-783217d7d507'	'DragonSlayer6928'	'76.16.18.192')
('026cade6-98d3-4915-8d39-7e44ebf42308'	'AppexPM'	'172.56.13.184')
('026dc88e-2436-4398-8e34-5f4bec20a4c9'	'LeviDavid13'	'5.54.108.173')
('026edda9-9bbd-4256-ba36-a83b88100366'	'SnoodPvP'	'71.127.232.223')
('02714a51-37de-4c59-a1cb-d78e4d7e997c'	'SantyPro'	'186.188.156.78')
('02725a04-3daa-412f-9de2-7a9e54ad8838'	'AirBiscuts'	'73.203.70.16')
('02729960-1fb3-40e7-957d-aa72309ae334'	'_Valandil_'	'85.254.77.43')
('0272a5a2-de50-4ddd-a1bf-13d53a63c6dc'	'Chicanto'	'75.118.145.59')
('0275cb8a-95ed-4a0b-90ba-9905b1c44e80'	'WaffleTheMLGPro'	'2.29.251.7')
('02773bfa-7a3e-4100-a5a7-856ecc670e1e'	'Devison'	'216.7.79.235')
('027813e3-f270-48f4-82f9-b06c88065e22'	'TheWorstZed'	'179.8.157.228')
('0281067c-cad5-40a8-9467-99f2ace4ad35'	'MyHairline'	'222.155.198.207')
('02827c7c-ce78-4676-a1e1-dd0601b5b0c0'	'4Yu'	'186.78.53.19')
('0282b4c8-ebd1-4580-bba9-34e06fce2751'	'abritinthebay'	'71.9.203.101')
('0282f4c2-ae07-450a-996d-bd892f1fc909'	'Avidify'	'71.234.245.48')
('0283fadb-e4a1-40ac-a64a-c8580f94cade'	'ItzNeci'	'93.87.166.20')
('02858e1c-3fc0-4d6e-a478-235e01d7fce1'	'chuchoruto'	'107.216.42.132')
('0285f685-c5f9-4be3-8b17-533fce184bcc'	'iKatsu_VJ'	'5.224.94.12')
('0288194a-71c5-4567-902b-f652cbb6fe21'	'YoungPedo69'	'81.136.65.233')
('028ad9d4-e1fe-40ae-a8e1-45eefc0b7ba4'	'peacenerds'	'68.202.46.199')
('028b092a-c052-4d3b-baa9-903162175b47'	'Chicles'	'201.215.167.88')
('028bd2d6-8f1b-47a5-9e7d-b3f9eac63367'	'FinessedYourHoe'	'82.26.100.120')
('028eefa4-3150-4028-b6a8-94797a2f1711'	'Horse'	'51.175.29.11')
('028fe6ea-c370-4337-b145-7b92b93fd52e'	'ClutchSpeed'	'217.104.5.14')
('0292efc9-2cb8-47c3-92cc-5f949bea85f1'	'Reseting_'	'191.82.48.26')
('02957375-ee11-4dd4-a65d-dc0eaf641f63'	'gatointhehat'	'151.77.204.135')
('0297156f-1374-4da5-9cc7-6a3d7f7b2fb1'	'kegz3d'	'45.52.238.181')
('029806e1-db56-4241-a216-73886a242929'	'CarterAimz_'	'104.176.5.188')
('029a1b89-b5d4-4790-b62e-59ecab062fd5'	'From'	'50.133.194.166')
('029a7651-006b-49af-bbe5-5d5bde5a3770'	'chaugan84'	'217.64.43.98')
('029b34bf-5ead-4eee-a783-2d5e4606733f'	'Researched'	'199.89.59.53')
('029e9d1c-df3c-4721-960e-5cf1ac088cc1'	'Wtapper'	'84.104.9.91')
('02a051ea-289f-4251-bc2a-8ffdc80dc527'	'kkkKewlKidsKlub'	'47.148.72.213')
('02a10d98-30b8-49c7-ae1e-f905f57d8bb1'	'heqlth'	'80.203.94.87')
('02a2fbd6-f664-46c1-81a0-23e7a8f8f908'	'AlzC'	'165.120.140.101')
('02a46c72-5ae3-440c-b7f4-72c34d7c206a'	'TreySongz_TF'	'186.82.161.99')
('02a52251-e6a1-4ee6-9bc4-56ede9f53649'	'HavocDream'	'45.36.135.197')
('02a54110-4714-4bb1-8f52-efa868ecdb87'	'costed'	'50.136.108.112')
('02a5ba6d-ace2-4d38-84c9-240e69ae3628'	'Kaptonic'	'77.29.49.44')
('02a7d0c7-fdca-468c-ab63-f347b2512dd4'	'AtoZzGaming'	'81.250.162.88')
('02b2bfd1-4636-43ab-8168-e977fd1febe3'	'tfti'	'71.92.32.42')
('02b306ad-142a-4bb2-9e6a-2b112bb148d1'	'LIKEABOSS1235564'	'77.162.135.53')
('02b46acf-c059-4113-af03-b4ece7bdc73a'	'SwEeT_Ho'	'70.44.40.131')
('02b73889-f7d9-4b7e-ac66-609e05261bad'	'matushindrey777'	'69.167.32.176')
('02b97845-3f62-4d22-b757-f3d686974650'	'UbiaN'	'125.168.3.197')
('02bd7e45-b9b8-491d-989d-20eeb487f418'	'HashtagETB'	'74.12.135.153')
('02bf29c7-ddf4-49b3-959d-3674017f6fb5'	'MukiPvP'	'176.72.194.153')
('02c07478-fef3-489d-8e4e-0cff9866e9b5'	'Waniel_'	'70.163.56.187')
('02c4386d-9a40-443c-88a1-cac8f51b17b9'	'Mad_T_Rex'	'115.188.206.73')
('02c4eea0-34a0-480f-9771-f46b1368a953'	'JuniorGamer3'	'73.171.71.74')
('02c501d4-ee6f-49f2-aaf7-1e1184da1c04'	'ToggleAutosoup'	'82.139.100.98')
('02c75a08-481d-4847-9f1e-1fe5a344e6ab'	'Complying'	'24.10.56.200')
('02c79332-e8c0-4d65-b77e-ce2ebb59401a'	'DodoRino77'	'109.222.160.254')
('02c79485-cb65-4f8b-88c2-01e40eca44b0'	'Froq'	'90.227.76.208')
('02c9eb15-230f-4880-b05c-489652936336'	'Twixtwics'	'190.149.161.47')
('02cbebd0-27f0-4f93-b984-f43a3a1a5a64'	'11cm'	'89.212.226.196')
('02cd0b56-bfe7-4835-a198-d1f11678c555'	'Occurings'	'162.212.68.243')
('02cd5d6e-1ccc-4f39-909c-502e0b0d9fef'	'ImEldin'	'77.250.245.6')
('02cdfcba-90bb-4163-8052-7c7a9ab73cfc'	'YesDebuff'	'87.64.162.69')
('02ce99ef-d4fb-4786-bf48-fea739cd41af'	'BizarreWeevil71'	'172.7.182.29')
('02cfe3cc-feef-474c-861c-c717edb5d28d'	'LatiFTW'	'85.222.176.41')
('02d06745-7258-412c-8fa1-1cfacaac810c'	'inoue123'	'69.157.230.58')
('02d1753d-8e35-4133-a617-50de04f545e4'	'PEWBERTYv2'	'72.76.128.130')
('02d1e8dc-235f-409e-b140-6480453c028e'	'bobthezombie3'	'82.15.243.53')
('02d2453a-039a-4583-9231-07941b1cfb4b'	'KuribohAdvocate'	'82.181.132.235')
('02d3e8d3-358c-4263-949f-f532ef182752'	'LeanWithBleach'	'24.214.137.99')
('02d9f225-8cc4-48d1-bb2d-c10f7a24ae80'	'ralph89242'	'64.229.158.27')
('02db5dff-f03d-4e0e-a13e-cddb57a05e6a'	'RhinoRhinestone'	'162.222.3.221')
('02db7653-9604-4e49-9014-5ad218fc7bfe'	'ZeyNiks_'	'109.62.56.214')
('02ddfe80-1ba4-43b8-9c72-84d265605c44'	'Maeev'	'95.90.243.54')
('02df0bd9-3904-49f0-922b-07db80e6f071'	'freyachops9'	'68.108.128.41')
('02e3175e-6633-460f-aa5f-ff2fd5a9bd6c'	'rparker13'	'194.125.25.107')
('02e45b9e-31ef-45b2-ac1b-3990f9fb5eae'	'Jabdimus'	'181.93.110.17')
('02e5bd25-5ac4-4280-b3d9-51b27c532057'	'Corriene'	'108.172.232.183')
('02e8c221-070d-4bb4-aea7-0195fa058df8'	'Cheatz'	'77.164.195.186')
('02ea463d-6171-4c24-91a1-c5f95a97ea9e'	'iResurrection'	'86.184.249.197')
('02ec1d38-a363-4a5c-aea6-14a52670bf7c'	'GARBAGE_DISPOSAL'	'67.172.167.31')
('02edf7dd-2131-4691-bf76-7aed9523bc60'	'corbansawyer'	'161.18.34.78')
('02ee5347-fb89-4909-988a-33aeadcede4e'	'Misfortunate'	'142.114.89.102')
('02eec406-ea17-470b-a334-218b4a019632'	'iwatson178124'	'69.157.230.58')
('02f0aadc-4449-466e-9c9f-7e34003cefb2'	'why_u_so_ez'	'77.162.23.36')
('02f3dbcf-ddfd-4691-99d8-68bfc0f06866'	'wtfgf'	'84.196.77.95')
('02fa2dad-52f6-4282-8cc1-37c2ab110063'	'TruceWithDad'	'86.162.151.143')
('02fb09b1-a123-4c38-b382-d52a215b5507'	'SP_Nocturnal'	'24.53.100.118')
('02fba134-9777-47a7-9f44-b0c8314e2f22'	'GABRIELVV14'	'71.175.54.179')
('02fcda02-0675-4eb5-84f4-670eb2bfaaa6'	'TewSlo'	'73.226.210.189')
('030082a3-6029-46e8-b715-450cb9c28ede'	'xXWhippedCreamXx'	'71.183.62.52')
('0304f565-9ee9-4e96-81ff-643cc45bb641'	'RobotGames'	'50.81.244.155')
('030d3ef3-0019-4d64-a0b5-29532a31f61b'	'TinySushi'	'90.207.30.67')
('030f1f44-44e5-41e6-9006-8a0b536e0a11'	'TeamCapsule'	'200.86.190.78')
('03113873-76b8-4187-8ffe-ee7a736d6db5'	'DropsikPoWojaku'	'213.108.116.28')
('031311a9-01fc-4386-a2d8-736d7d4c625a'	'Coolquil'	'100.15.129.14')
('0313340b-4d70-434a-94a0-f4ec9f61270b'	'GegoCraft'	'31.11.79.228')
('0314041d-9823-42b0-a3a2-20c828506b8c'	'Mozenrath'	'69.131.180.245')
('03177402-ede9-4c24-a8fb-57a85c30c91a'	'TheyCallMeQueer'	'71.237.207.215')
('0317eb42-f411-49c6-903a-1f3f6dcb0769'	'xXjolego1212Xx'	'101.186.221.127')
('0319ca76-2a9f-4f84-b7a2-7cd48d62a609'	'Silillan'	'67.68.102.127')
('031a0c21-cf09-4f74-9477-c8aad085f0f4'	'czungi5a'	'95.160.152.171')
('031b7061-c87d-47c2-b91b-2da7a151863b'	'XannyBars'	'50.35.127.88')
('031d8505-6ecc-4d9c-8f07-7638123254b3'	'ibeliveingod'	'75.13.94.129')
('03203604-e0c6-4b7d-a3d7-b4591fd07648'	'ItsHamodi23'	'94.254.63.121')
('0321e617-9ee0-4beb-aeaa-5641b0d02fec'	'P0rnHubM0d'	'162.251.172.143')
('03274f93-b193-4d06-b437-a70358272bc1'	'Twadi'	'51.9.90.192')
('03295902-4e55-4e9f-bc31-3299e828ddac'	'DisPxtch'	'109.150.230.13')
('032d8890-09f1-44e3-bcb8-33ea6ac3d844'	'MommyYahoo'	'80.192.115.126')
('032db162-3cbb-47b9-a0e8-1b80795f31fd'	'Spencehead'	'213.186.255.52')
('032ef7e7-adca-4ca8-8e48-f5c3341d3a52'	'Chylus'	'73.83.188.223')
('0336fba1-4ffc-4491-a55d-6d1854b35ffe'	'GI0'	'73.1.139.213')
('03409862-3f16-456e-a65a-c79b6c8588c7'	'COMBOINGBABYS'	'213.57.238.216')
('0341911f-5782-4533-8fba-b1994b63088c'	'LexaH4IK'	'184.153.210.220')
('0347fb89-0cab-4056-b62d-b7c56c302805'	'SoClosed_'	'178.238.175.138')
('0348f698-0e12-4751-8c8f-cfd28f87353c'	'OnlyProdigy'	'76.117.176.224')
('034cdee8-a659-4f81-a537-43edae3b9617'	'Bumps'	'73.176.142.18')
('034d337b-4470-40c4-8f43-884805b9c48e'	'Dishonored'	'24.118.245.70')
('034de8bb-5b15-49c4-8a08-4899e9fb3f46'	'vermut'	'95.233.56.131')
('0353236d-6af3-45b1-b4c2-9c76ab24042e'	'ortish'	'89.164.47.203')
('03535dbb-5caf-493b-a1ad-1925b956293c'	'BroskyPlay'	'24.18.168.21')
('035400ba-f82b-4f87-b5d7-aa1c7a37d7fc'	'Immortal4321'	'162.206.104.57')
('03540325-8c2f-478a-af61-f11e5064eb33'	'mystinq'	'77.101.145.23')
('03549d26-f34a-470b-a09c-706ffb582d76'	'Asmtree'	'75.118.245.152')
('035613c4-92cb-40fc-970f-f6b9001cf072'	'ZorriToo'	'189.216.121.173')
('035693b4-fc0e-46fc-a378-f1a80b69e35a'	'MyDickBig'	'24.99.239.134')
('0356dc31-dcca-4faf-89f8-c4a8d259c1d9'	'Live'	'184.10.186.199')
('03575754-bcea-4141-aa34-c7496169be88'	'fahim64'	'69.167.28.56')
('035bb72d-7471-48da-8c94-cfb6d3186210'	'Jefferyy'	'86.189.154.31')
('035bca0f-cd1c-4c65-85b9-1d9e72a4636a'	'FizzyCookies'	'109.227.33.123')
('035cc937-f32b-4101-8ae9-1b823ea8b8b7'	'lolmk'	'68.117.13.0')
('035e3c87-a1a5-4267-ab20-202b84f73593'	'Hurlzaz'	'120.147.174.38')
('0360516c-34b8-49b7-b9b6-0957207c2bb5'	'Sclythe'	'93.130.139.22')
('0361862a-f2e6-4170-8a68-4fdacbc908c0'	'SilverGapple'	'107.139.60.112')
('03620e88-e604-4044-852c-7eba36138909'	'ItzFar'	'51.174.229.107')
('03628ee0-6882-4628-8b4f-358aebc3eb82'	'AnPlayzMC'	'104.181.194.79')
('0362c74c-9f3c-4648-a248-b62bc75e2c9d'	'unagitated'	'73.187.221.202')
('036464f9-df08-43a9-ba4b-8b27f25c8cc0'	'Flyriq'	'85.148.4.34')
('0364afce-de16-4e7d-8fea-46587fe81b0e'	'SighFow'	'108.80.142.97')
('0365c112-d9d9-4ead-99d5-2ea7d8272a65'	'TXaTmAggies'	'45.36.149.129')
('03691bcf-da8d-4e38-8807-6e04eeba7f76'	'KoalaFood'	'32.213.203.31')
('0369f05d-9629-4217-9f95-517478248ed2'	'AutoUser'	'5.34.184.220')
('036be2d2-e790-492a-b978-6d1a0976176b'	'UltraEruption'	'87.210.51.33')
('036cc4ce-8ea3-4597-a7e9-a95ee17335b9'	'ItzHakeruwa_'	'81.219.28.240')
('036d48ce-9580-407d-a918-c47759bd3191'	'DstarPlayz'	'94.209.64.169')
('036e40ce-ba6a-40a8-9f33-041e1d8fae42'	'ladoputi'	'1.136.96.27')
('036eb0ed-ca40-4c32-bf38-7d1a50940802'	'InvisRaiding'	'2.85.149.239')
('0370c292-bcd0-4509-8e13-4a1ed8ef9633'	'Level__One'	'96.42.52.131')
('03714d4c-530d-47e8-8734-96f4cfa7c83f'	'urpoor'	'73.12.45.110')
('0371aba9-541a-46a5-8962-e1fe7b8db02f'	'Wolf_Cool'	'82.15.129.40')
('03736216-12ae-4bec-b561-5e985cfbf6d3'	'Frames'	'142.113.212.194')
('03746ceb-99d1-40bf-81dd-f71a41003535'	'imagination0320'	'50.152.254.92')
('0374ef95-a93c-4c9e-947c-91a8a10cd9cf'	'Rentless'	'24.216.155.194')
('0378648a-0dac-486b-a645-d61aff5d63e7'	'scoobyking1337'	'79.74.178.43')
('03819fa7-fc7d-4da7-a165-95e3d5cbb856'	'EriPooter'	'66.86.8.84')
('03863212-9af2-4aa3-a56c-7c3db46c461d'	'Knehay'	'5.133.150.38')
('03867d70-efc9-43e6-9d40-a00149f267a8'	'Rightio'	'125.168.204.35')
('0387143c-d565-4309-834d-5c8af3b1d513'	'tblack'	'173.21.71.4')
('03884e35-d069-4d96-865e-2dbd982f1725'	'Spring_trap00'	'92.149.19.51')
('0389efe5-3375-461f-a94e-72bf3ffff390'	'Dylan5025'	'104.175.116.63')
('038a73d9-656f-4e92-937a-c91150aa5a6a'	'JoeMaster_'	'188.220.143.20')
('038a82b4-983d-4967-bfad-e0c4309d02b0'	'King_of_Ping'	'74.206.134.116')
('038c1eba-e78e-410c-a607-398f53e27ab6'	'Elivagar'	'108.176.194.212')
('038c3ab5-53ba-46bf-91b1-ea78557dc5d0'	'Mode_420'	'47.147.234.212')
('038ce7f2-e9ba-448c-9d34-11a49fce488c'	'Twill'	'71.224.166.255')
('03923959-52e9-4e1c-a4c7-d0f03a0c0714'	'icethijs'	'85.145.15.70')
('03971d90-0b7f-4c8f-8600-1393540f8a73'	'Vianni'	'86.166.239.59')
('039dfee9-9ca3-443c-8497-9f23e285ffb7'	'Taggabster'	'66.161.105.93')
('039e2efe-070e-4d89-b897-435066183ec8'	'LittleMixs'	'223.217.34.201')
('039ef94f-381b-470a-bcdc-9f6353297b9e'	'Maabs'	'86.158.68.192')
('039f5cbd-5e11-4d99-915e-4004fd1377cd'	'CHARNE3'	'190.124.10.76')
('03a0321e-7960-4681-bfc4-a222f4019f12'	'LuckyTuber'	'2.121.34.60')
('03a15887-bc92-467a-bd95-68a2a71a50af'	'burntheweebs'	'211.30.28.150')
('03a25832-d8cb-48ea-ade8-bf546a564f67'	'EuPingers'	'99.184.171.121')
('03a3f0a0-e8b9-4afe-ba38-1c550e124413'	'DRayXs'	'86.222.76.253')
('03a6183a-add4-4e51-96e8-ce607884368b'	'dky'	'2.127.2.210')
('03a65d99-98c4-4bc1-b87f-ce8c7209c893'	'calimuscles'	'108.232.31.4')
('03a7cff7-20e1-4131-b778-6505940cd3d4'	'ConnorMacChicken'	'94.226.148.123')
('03a82a95-f09d-4f05-a384-469126e14aba'	'iFireHeart'	'68.170.122.197')
('03ad2f98-cb97-4b6a-877d-0d7d35c5564e'	'Twiztyh'	'81.129.245.99')
('03af6686-0c27-46cf-af47-8eef60e0538a'	'doctortoby'	'73.46.84.32')
('03b5dd96-cc07-4e9a-b1a0-a1560c56802e'	'EthernalMania'	'201.230.99.63')
('03b609b6-7439-4fef-829c-5217ad0218e0'	'PixelEdge_'	'81.152.71.146')
('03b667d3-bb77-4e96-93c8-fc0ee8de80c4'	'Skrachat'	'85.254.72.23')
('03b676ac-6419-4f6c-8bb4-0ea523ae71d1'	'enemies'	'198.14.223.109')
('03b9ab53-e2c2-47fa-86ba-5a9d8e329ed6'	'SteelCoyote'	'109.161.135.2')
('03baf851-3455-42f7-be3e-d14ed751c410'	'TheTNTDemon'	'84.87.206.185')
('03bb42c5-596f-45af-a871-4dd708ab3403'	'ViciousGamers'	'69.87.138.33')
('03bba471-2e00-4160-9dba-b01e593743db'	'zombyjack'	'95.97.3.33')
('03bc11cf-fd4f-48d1-a66f-a21864668c81'	'Nigrz'	'69.118.16.176')
('03bc18b1-1cae-47c9-8379-863f844b6571'	'iTzQualbHD'	'89.160.22.29')
('03bcf8cf-b262-45de-aadb-5d1faa27ff67'	'dumbys'	'89.164.138.44')
('03c020bf-1585-4a98-90b0-c2f3b2704be0'	'KingNyRican'	'73.193.136.227')
('03c12576-9175-4808-8802-39a792b3f5ab'	'LayZuh'	'73.72.172.247')
('03c31b5a-61de-4c63-ba64-9fa0226f9a57'	'OriginalJerry'	'50.185.122.29')
('03c7ea75-e702-440d-8ca2-b937551a614b'	'650yoghurt'	'68.186.12.211')
('03cf762c-7012-4e84-a8c9-6d70d6aa0b57'	'Hunt_Dog'	'173.30.48.123')
('03cf9773-0913-436e-8c9e-0e32a42bba30'	'carterman1027'	'37.221.160.210')
('03d09ca7-b487-4870-8d0f-0b4e611e93d1'	'TellFort'	'65.92.132.87')
('03d19f18-e4cd-430d-8460-adb162716965'	'GoldenToothlessG'	'171.236.240.7')
('03d2460c-259b-494e-9fe8-c497ed800d41'	'Jplq'	'189.252.162.62')
('03d3cabb-0a01-4a1f-a6aa-e8d89e709596'	'ScaryTigerz'	'188.179.127.25')
('03d8b007-2127-4457-bd18-b464d64d4a45'	'UltraTyphoon'	'200.56.191.76')
('03dec4f6-b957-4759-80a3-ddcef4886420'	'Nevermine123'	'93.137.132.223')
('03e05c2b-c889-4744-aa09-a4ed4da82734'	'ByKross'	'86.201.176.246')
('03e0fc3e-c5ad-4e36-b09d-3a829009ef7a'	'xGhostclient'	'85.144.161.69')
('03e1401f-436f-43aa-94de-01a04e692066'	'Brezino'	'92.30.199.180')
('03e2fe29-e789-46d2-a1e0-35f9a1e96ff0'	'By_Red0x'	'220.156.166.129')
('03e5a335-be6c-47c3-8837-594fbf13f66a'	'JustGhost_'	'174.61.109.136')
('03e5ca4a-8ae8-42a9-b034-645f64468755'	'moltenjustin23'	'72.218.52.44')
('03e803b0-3970-4e91-a7d0-16f2bd214920'	'FlameingEye'	'217.103.242.67')
('03ed181c-7de2-48a1-903e-62a4dc39d1c3'	'X3P1K'	'201.236.13.33')
('03ed8f54-fd00-4381-b9cf-f177bf7d40da'	'BayonetSapphire'	'89.114.251.207')
('03ee7dfe-d4bd-4814-abcf-42ab7f8ba50a'	'NINAustinFett'	'86.169.68.208')
('03f0269d-e180-4096-abbf-461b5c8fd762'	'bisheyy'	'91.105.49.207')
('03f09ef4-f7ee-4264-abfa-431482c20683'	'jjsm'	'167.57.68.191')
('03f58f7b-7b71-4e35-a0df-dd1555f9c164'	'Rocktopus001'	'203.212.158.127')
('03f74d53-45d0-4ed5-844e-a2d17115212a'	'iTzKiller09'	'189.252.223.12')
('03f95ff6-9590-455a-9258-68a0cca281cd'	'NGGLink'	'180.191.106.17')
('03f97334-bc16-4175-a79c-4419cc544397'	'Crostszoh'	'172.72.106.174')
('03fadd35-4d5b-48a3-8b41-dae34141d1d2'	'PR0DUCTS'	'94.9.76.183')
('03fdb222-8fda-43ec-81a1-7053979ffcc2'	'CallMeShinikua'	'104.32.225.44')
('0400e9db-0190-4337-98b2-7ee76b4d94d6'	'dan1246'	'116.251.189.42')
('0404ae98-858f-46c0-8a14-214b4dade958'	'Junv'	'99.246.118.217')
('04098766-fe06-4cb3-b23e-8875409cb583'	'1tach1'	'73.97.57.220')
('040b6f91-bca5-4423-b884-e2afbf874c47'	'iDreamable'	'67.9.133.5')
('040f647d-404f-4f41-9d4e-7aba99a04ac7'	'Communistation'	'82.181.132.235')
('040f8c43-d69b-4786-8f55-cb3e35acacad'	'tewt'	'68.184.163.23')
('0412e153-b74d-4d0c-881b-1de85093c2e8'	'Kinqful'	'77.9.137.206')
('04151f80-1db4-4a87-a521-934840466228'	'Gamer_pro228'	'206.248.220.158')
('0415e56d-e68d-4009-9690-0e95499dff2b'	'xSoulxPvPx'	'71.59.249.164')
('0418e82a-7d9b-496b-8ed0-6a7705c7031a'	'MinivanClan'	'50.186.247.181')
('04198484-a496-4680-9beb-35cf6896862c'	'FUMEUR'	'88.173.183.178')
('041c79a8-b3e8-4891-bde0-a81b617c746e'	'VillagerRank'	'90.37.198.108')
('041ea03a-8f22-4374-be30-54eaec553f17'	'Rencis_0'	'92.49.28.106')
('04206c40-2a97-488d-ab5e-ed9d32d3cc19'	'Finessa'	'96.38.146.127')
('0420eeee-cb65-4937-b8ed-e68dd41d3a23'	'tobymatt87'	'99.255.92.10')
('0423ee26-c344-4a4c-ba97-2713bef2f2aa'	'aveadore'	'105.159.234.241')
('04241d5e-4c52-4082-9524-2ce16dc08389'	'Spinat'	'188.97.11.235')
('0424437b-e360-42c1-a686-5cc007a17f9a'	'SHOFU'	'85.76.142.15')
('0426f6ec-6704-48a8-b9c4-74205f6fb066'	'Wraken'	'24.51.97.73')
('0428b574-1e41-4030-b106-0c356b765029'	'QmeeHD'	'104.2.21.1')
('042a6d16-544b-47b3-acbd-433b30c754ef'	'Crawled'	'204.195.51.41')
('042b11fc-81a6-4fa9-aea3-7153c93992ff'	'XxDaanProxX'	'84.83.25.165')
('042fd46f-96c6-4381-897b-66051c1010c9'	'GramBezNerki'	'77.243.183.85')
('04327e8a-591b-4c9f-b9a1-5815d62beed6'	'castorpache_PT'	'201.217.246.149')
('0435e9bc-4db4-409a-8f91-e11a4fd2e5a8'	'Wolfs7'	'204.235.209.80')
('0438b22e-accb-45a8-999f-d98bb1969631'	'_Blaxer'	'87.1.175.31')
('043af110-a6fa-4ec2-8a3e-9030488ffdb6'	'BabyBeaner'	'87.214.175.210')
('043cb823-0440-4499-a584-5325422a5d62'	'Foxyloxy2006'	'181.90.160.88')
('043f10b6-3d13-4340-a9eb-49cbc560f48c'	'Spazzinq'	'71.72.72.233')
('043f7931-3c11-4bff-9e68-5eaa297cb09a'	'Smalle12'	'108.218.58.243')
('044565be-dde2-4cba-9ec2-d98bee73cfe2'	'Karyy_'	'93.37.177.48')
('0446cf56-0aa9-452f-b443-00685255aca0'	'GrizzlyTed'	'77.101.10.113')
('0446e50b-1a5c-4fba-8d19-7ee828343156'	'Vraap'	'80.9.226.254')
('044b6ab3-8070-47bc-8d34-fa134ef342e7'	'La_Chanclaa'	'176.140.178.156')
('044c6db1-2698-4782-a310-1311eb56b6eb'	'SparklyPvP'	'77.250.121.224')
('044d5783-8085-4cd0-b81b-7666e0ea1d95'	'ICodeHacks'	'74.102.211.121')
('0450494c-369e-4bfc-b53e-61191d00ff28'	'oSapphire'	'47.151.26.71')
('0451446a-aed6-461e-84be-b30a3398fecf'	'Fycker'	'51.175.59.77')
('0452b9a7-be0b-48fc-aae5-ea6f145c7278'	'ANEPICFLYINROCK'	'96.238.101.204')
('045376a1-dc9b-4fba-a04c-4519dccfa548'	'GriTonium'	'87.89.192.161')
('04577383-1e10-4f41-8f71-34839482f395'	'ScrauderS'	'5.89.183.144')
('045792df-88a5-4b48-9505-d387ebf05ba6'	'Only8Block'	'205.151.61.169')
('04581f10-5762-4a7d-85a4-329447e56267'	'iSluf'	'67.168.107.55')
('0459b86c-d945-4f6b-9794-59eb31eff636'	'MalaysianPing'	'77.251.252.205')
('04627a57-1cee-4506-b4f6-09cc60651d7d'	'GamingMamma'	'96.238.100.56')
('0464cd0c-3ab7-4d98-92e9-08d5b2a8d73c'	'Bimoud'	'181.114.54.168')
('0467194f-8a41-47a9-b33d-0b34d213917d'	'PokaPieroga'	'83.21.208.98')
('0467b0dc-271d-49c4-95fe-61d21767725e'	'Winge'	'31.16.254.29')
('0467c262-52b7-41e5-98cc-28b54f7e5830'	'FreeTyler'	'104.1.35.78')
